id,__typename,createdAt,datePlayed,archived,formatId,updatedAt,winningDeckId
e7efc5ae-5caf-4f3d-9169-5af3628bae5b,Match,2024-05-19T16:57:02.341Z,2024-03-19,False,e692a8b9-5e99-460b-b810-59b06254eaa9,2024-05-19T16:57:02.341Z,6ee12394-95a1-4e5a-8f98-e75351f969dc
66e50ed5-04f0-47b8-bcc8-466c54ca3a5d,Match,2024-08-20T00:47:25.504Z,2024-08-19,False,0719aa40-07f3-4b3d-b588-82da8605ffbb,2024-08-20T00:47:25.504Z,be7db7df-6bb0-4f10-8cba-e60d383df3f1
ba97d3a0-2ca5-4fd4-9d12-546a8eb9113b,Match,2024-05-19T16:30:48.425Z,2024-02-25,False,e692a8b9-5e99-460b-b810-59b06254eaa9,2024-05-19T16:30:48.425Z,3d36b33d-c708-450c-85fe-0911a376c762
b8f4bc79-c250-4270-9798-9712eaf65dd8,Match,2024-09-07T14:50:15.166Z,2024-09-07,False,e692a8b9-5e99-460b-b810-59b06254eaa9,2024-09-07T14:50:15.166Z,e1aaf410-f1d9-4b1c-a3d8-557dd9d06e15
f7c27fbc-ebfd-4c45-b8c9-2a485a2aa5e7,Match,2024-05-19T17:19:30.124Z,2024-04-29,False,0719aa40-07f3-4b3d-b588-82da8605ffbb,2024-05-19T17:19:30.124Z,e3edc986-a1fe-4787-98f4-dc9a85d4ccf6
6a634fa2-2a03-4409-97e1-80d2370c88d6,Match,2024-06-24T00:50:24.747Z,2024-06-23,False,0719aa40-07f3-4b3d-b588-82da8605ffbb,2024-06-24T00:50:24.747Z,1f783755-f47d-4a5d-83f5-f9a074c932b7
0b62380b-3541-4f8e-b06e-7e5da2a99d02,Match,2024-05-19T17:20:14.947Z,2024-04-30,False,0719aa40-07f3-4b3d-b588-82da8605ffbb,2024-05-19T17:20:14.947Z,01896448-0df8-4da0-b0dd-f0c3c06c1462
ef5ba112-f8bf-4cd8-862a-2404c7ebfd60,Match,2024-05-19T17:19:53.094Z,2024-04-30,False,0719aa40-07f3-4b3d-b588-82da8605ffbb,2024-05-19T17:19:53.094Z,7782c783-a210-4d4b-a80d-976bef64f8e6
4af99e0b-c7bf-402b-942f-f50d4031cb87,Match,2025-03-04T03:33:55.368Z,2025-03-03,False,0719aa40-07f3-4b3d-b588-82da8605ffbb,2025-03-04T03:33:55.368Z,04a767ae-ee94-45db-b793-1f2a6877e2f4
e27e1937-821d-4214-93eb-f79bd620684e,Match,2024-05-19T20:03:07.429Z,2024-05-19,False,0719aa40-07f3-4b3d-b588-82da8605ffbb,2024-05-19T20:03:07.429Z,0ecf7943-dc6a-45df-96ee-584cf1293c82
